"","loc","lon","lat"
"390","sometime with the mineral exploring company cape of good hope",18.4739882,-34.3568425
"391","n cara ua central america permanent address w odeni",-85.6023643,12.7690126
"392","hurlford ayrshire",-4.451739,55.598058
"393","station street burton on trent",-1.6361509,52.8048518
"394","todric greenlaw berwickshire nb",-2.463809,55.706534
"395","veterinary collece buccleuch street glasoow",-4.2623132,55.8688458
"396","queen anni s mansions london sw",-0.1277583,51.5073509
"397","video south america april th",-55.491477,-8.783195
"398","sandywood keighley yorkshire",-1.9089018,53.8701557
"399","york road i",-81.0738893,34.9479457
"400","pentyla aberavon soutii wales",-3.7896281,51.6001422
"401","hm patent office southampton buildincs london wc",-1.4043509,50.9097004
"402","lessness park belvedere kent",0.1453431,51.4857504
"403","t ie greshaivi club st swith n s lane london ec",-0.1277583,51.5073509
"405","bergi iolt house park road jarrow durham",-1.4956158,54.9770456
"406","church road urmston near manchester",-2.3672532,53.4429895
"407","ashville cqllege harrqgate yorkshire permanent address",-1.5520919,53.9737935
"408","i cleaver street burnley lancashire",-2.2302012,53.8015088
"409","j iannesburg sar",28.0473051,-26.2041028
"410","de la beche medal",NA,NA
"411","carr mount ruswarp whitey yorrshire",-0.6318278,54.4696562
"412","hardwick house carpenter road edgeaston birmingham",-1.916011,52.4649504
"413","balmuir gardens upper",-0.2255183,51.4619451
"414","putney",-72.5217237,42.975268
"415","late partner in messrs bass and co s brewery burton",NA,NA
"419","at dover",-88.153156,42.743043
"420","plasnewyd ruaeon north wales oflices westiviinster",-3.1673024,51.4907401
"421","chambers wrexi iam",NA,NA
"422","f tzjo in s avenue i iaivipstead london nw",-0.1277583,51.5073509
"423","london road manchester",-2.2312653,53.4764458
"425","c o water supply department brisbane queensland",153.0257857,-27.4752151
"426","moray place elgin n b",-3.3183409,57.644271
"427","church roan chorlton cum hardy manchester",-2.2836706,53.4407134
"428","calcutta",88.363895,22.572646
"429","papers on chemical science died june llth",NA,NA
"430","medical school caxton street london sw",-0.1350874,51.5235146
"431","i aurruzo p xcn wes london sw",-0.1277583,51.5073509
"432","ki innington roan lounon se",-0.1741905,51.5783386
"433","in mashonaland",30.8958242,-17.6379366
"434","clarence laou and steel wonxs huusu t leeds",NA,NA
"435","sometime hm assistant inspector of mines manchester now in india",-2.2426305,53.4807593
"437","baveno north italy",8.5055814,45.9089803
"438","baveno laco maggiore north italy permanent address",8.5055814,45.9089803
"439","marionville restalrig near enmavacn",-93.6374213,37.0031121
"440","svnmzv new soum wales",-3.7837117,52.1306607
"441","sometime assistant engineer to the late c siemens esq frs",NA,NA
"442","wooo battenhall worcester",-2.2058158,52.1799525
"446","harefield c",-0.4822173,51.6033524
"448","clarendqn",-100.8881993,34.9378289
"449","road norring hill london",-0.2028104,51.5126947
"450","c o r t nto co l rd huelva spain",-6.9447224,37.261421
"451","manufacturer of aniline colours and silk dyer of coventry",-1.519693,52.406822
