source,type,year,number,text,lastname,firstname,simpname,nationality,edu,prof,org,ydeg,loc,country,lat,lon
frei,alumni,1869,2585,"Conant, N. Whitney. Louisville, Kentucky.",Conant,N,"Conant, N",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2586,"Ertel, Carl Herrmann. Mittelsaida, Sachsen.",Ertel,Carl Herrmann,"Ertel, C  H",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2587,"Fontaine, William Morris. Hannover County, Virginia, V. St. v. A.",Fontaine,William Morris,"Fontaine, W  M",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2588,"Garza y Tapia, Cesar de la. Linares, Spanien.",Garza y Tapia,,"Garza y Tapia,",spain,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2589,"Grillo, Julius. Oberhausen, PreuBen.",Grillo,Julius,"Grillo, J",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2590,"Hacker, Ehregott Franz Joseph. Dresden, Sachsen.",Hacker,Ehregott Franz Joseph,"Hacker, E  F",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2591,"Hutter, C. Wilhelm. Holleschau, Mahren.",Hutter,C,"Hutter, C",czech republic,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2592,"v. Kiel, Alexander Herrmann. Riga, Livland.",V Kiel,Alexander Herrmann,"V Kiel, A  H",latvia,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2593,"Leupold, Heinrich. Bremen.",Leupold,Heinrich,"Leupold, H",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2594,"Lyman, William. Pittsburg, V. St. v. A.",Lyman,William,"Lyman, W",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2595,"Madge, Arthur. Swansea, England.",Madge,Arthur,"Madge, A",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2596,"Martin, Elias. VistaBella, Peru.",Martin,Elias,"Martin, E",peru,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2597,"Matheson, William. New Schottland, Australien.",Matheson,William,"Matheson, W",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2598,"Meyer, August Robert. St. Louis, V. St. v. A.",Meyer,August Robert,"Meyer, A  R",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
