source,year,simpname,nationality,edu,prof,org,loc,lon,lat,country
taime,1902,"allen, a a",,,superintendent,pencoyd iron wks.,pencoyd pa,-75.215458,40.00539,united states of america
taime,1876,"allen, c c",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1877,"allen, c c",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1880,"allen, c c",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1882,"allen, c c",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1884,"allen, c c",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1891,"allen, c c",,,,,new york city,-74.005973,40.712775,united states of america
taime,1892,"allen, c c",,,,,butte montana,-112.534778,46.003823,united states of america
taime,1902,"allen, c c",,,,,butte montana,-112.534778,46.003823,united states of america
taime,1884,"allen, j j",,,,,pueblo colo,-104.609141,38.254447,united states of america
taime,1886,"allen, j j",,,,,pueblo colo,-104.609141,38.254447,united states of america
taime,1892,"allen, j j",,,metallurgist,,great falls mont,-111.300772,47.505285,united states of america
taime,1902,"allen, j j",,,metallurgist,,elizabeth nj,-74.210701,40.663992,united states of america
taime,1907,"allen, j j",,,,,gauteng south africa,28.112268,-26.270759,south africa
taime,1912,"allen, j j",,,,,new york n y,-74.005973,40.712775,united states of america
taime,1882,"allen, j j",,,,,ore knob n c,-81.329263,36.400406,united states of america
taime,1884,"allen, j j",,,,,hanoverville md,-76.641271,39.045755,united states of america
taime,1892,"allen, j j",,,,,wise co va,-82.605118,37.024088,united states of america
taime,1902,"allen, j j",,,,,wise co va,-82.605118,37.024088,united states of america
taime,1892,"allen, j j",,,mining engineer,,dunedin new zealand.,170.502798,-45.878761,new zealand
taime,1902,"allen, j j",,,mining engineer,,dunedin new zealand.,170.502798,-45.878761,new zealand
taime,1876,"allen, o o",,,,,new haven conn,-72.927884,41.308274,united states of america
taime,1877,"allen, o o",,,,,new haven conn,-72.927884,41.308274,united states of america
taime,1909,"allen, r r",,,,,lunenburg mass,-71.724504,42.594527,united states of america
taime,1905,"allen, r r",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1902,"allen, r r",,,metallurgist,a. e. morgans,rockingham co va,-78.883555,38.582592,united states of america
taime,1902,"allen, r r",,,,,perth australia,115.860457,-31.950527,australia
taime,1892,"allen, t t",,,,care gibbs bright & co,victoria au,144.785153,-37.471308,australia
taime,1902,"allen, t t",,,,care gibbs bright & co,victoria au,144.785153,-37.471308,australia
taime,1895,"allen, t t",,,,,melbourne aust,144.963058,-37.813628,australia
taime,1892,"allen, t t",,,manager,,harqua hala ariz,-113.606317,33.686143,united states of america
taime,1902,"allen, t t",,,manager,,san francisco cal,-122.419416,37.77493,united states of america
taime,1892,"allen, w w",,,consulting engineer,,pueblo colo,-104.609141,38.254447,united states of america
taime,1902,"allen, w w",,,consulting engineer,,ny city,-74.005973,40.712775,united states of america
taime,1902,"allison, e e",,,,,halifax nova scotia.,-63.575239,44.648764,canada
taime,1886,"allison, r r",,,,,port carbon pa,-76.16883,40.696479,united states of america
taime,1892,"allison, r r",,,manufacturer,,port carbon pa,-76.16883,40.696479,united states of america
taime,1902,"allison, r r",,,manufacturer,,port carbon pa,-76.16883,40.696479,united states of america
taime,1877,"allport, c c",english,,,,sheffield england,-1.470085,53.381129,united kingdom
taime,1880,"allport, c c",english,,,,sheffield england,-1.470085,53.381129,united kingdom
taime,1882,"allport, c c",english,,,,sheffield england,-1.470085,53.381129,united kingdom
taime,1884,"allport, c c",english,,,,sheffield england,-1.470085,53.381129,united kingdom
taime,1886,"allport, c c",english,,,,sheffield england,-1.470085,53.381129,united kingdom
taime,1902,"allport, c c",english,,,,sheffield england,-1.470085,53.381129,united kingdom
taime,1882,"almy, w w",,,,,chicago ill,-87.629798,41.878114,united states of america
taime,1892,"almy, w w",,,mining engineer,,fall river mass,-71.155045,41.701491,united states of america
taime,1902,"almy, w w",,,mining engineer,,boston mass,-71.05888,42.360083,united states of america
taime,1884,"almy, w w",,,,,fall river mass,-71.155045,41.701491,united states of america
taime,1882,"alpricu, t t",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1876,"althans, o o",german,,,,breslau germany,17.038538,51.107885,poland
taime,1877,"althans, o o",german,,,,breslau germany,17.038538,51.107885,poland
