"org","freq"
"alpha consolidated mine coarse gold",1
"alpha copper mining company",2
"alpha mines syndicate limited",6
"alpha mining company",2
"alpina copper company",1
"alpine empire mining company",1
"alpine gold mine barberton",1
"alpine gold mining company",1
"alpine mining company",2
"alps aztec consolidated mining company",1
"alps mine bald mountain gilpin company",1
"alps mining company",1
"alq rian exploration syndicate ate mattel",3
"alquife mines ano lwayrc meany limited",3
"alquife mines railway company",3
"alsacia mining company",1
"alseveor china company",3
"also a water company",1
"also acting manager shamva mine",1
"also chairman the society of",1
"also coal and copper mine",1
"alston mining company",4
"alston moor mining company",2
"alta bert gold dredging company",1
"alta bert mining dredging company",1
"alta california mine washington lgp",2
"alta california mines company",1
"alta consolidated mining company",5
"alta copper silver mining company",1
"alta hecla mining milling company",2
"alta idaho gold copper mining company",1
"alta mine corbin mgp",1
"alta mines leasing company",1
"alta mining company",1
"alta sierra gold mining company",6
"alta silver mining company",1
"alta tiger mining company",2
"alta tunnel a transportation company",9
"alta tunnel transportation company",4
"altai development company",1
"altai gold concess os limited",4
"altai syndicate limited",2
"altarnun mines limited",3
"altata mining company",1
"alternating current department general electric co",1
"altham colliery company",5
"altharvtcqlliery company",3
"althonse mining company",1
"alto condor g m",1
"alto cuyuni mine el callao l l",1
"alton materialistically limited",2
"alton mining milling company",1
"alton states limited",4
"altoona iron company",1
"alturas god limited",9
"alturas mining company",1
"alumet hecla mining company",11
"aluminium",1
"aluminium company",2
"aluminium ore company",2
"aluminum aircraft corp",1
"aluminum cleaner corp",1
"aluminum cooking utensil company",1
"aluminum plant aluminum company",1
"alun hill collier limited",2
"alunite mining company",1
"alvador spanish ron orr limited",3
"alvarado gold mining company",2
"alvarado mining and milling co",2
"alvarado mining g milling company",8
"alvarado mining it milling company",6
"alvarado mining milling company",6
"alvord mine daggett san bernardino company",1
"alycone mining company",1
"alyn ban collier limited",2
"alyn banks collier",2
"alys mine olive limited",6
"am engineering wks",2
"am erican cyanamid company",6
"am inst min engrs",2
"am min and imp company",2
"am para mining company",1
"am paro mining company",10
"am soc me",1
"am steel wire company",10
"am zinc lead sm company",2
"amabta wejsttwokth god",1
"amado herrera company",1
"amador consolidated mining development company",1
"amador gold min limited",3
"amador gold mine ltd",1
"amador gold mining company",2
"amador star mining company",1
"amajac mines company",7
"amalgam thief mine sugar loaf boulder company",1
"amalgamated copper company",8
"amalgamated development company",6
"amalgamated gold mines company",3
"amalgamated mckee hydraulic mining company",1
"amalgamated mines company",5
"amalgamated mining m illing company",1
"amalgamated mining milling company",5
"amalgamated mining t milling company",1
"amalgamated nevada mines power company",2
"amalgamated properti rhodesian limited",48
"amalgamated silver mines company",4
"amalgamated west africaint mines limited",22
"amalgamated zinc de bavay s limited broken hill ah",3
"amalgamated zinc lead company",1
"amalgamated zing bay limited",27
"amalgamatesdyndmicinatine maintained mercantile",3
"amana wentworth gold mining company",4
"amandelhoogte diamond mining company",1
"amaran tin mines limited",4
"amaranteitln mines limited",1
"amateur movies corp",1
"amatina company",2
"amatlan mining company",3
