"id","type","source","year","lastname","firstname","middlename","simpname","edu","org","loc","lon","lat","country","text","position","lname","nationality","company","freq","prof"
"aime56715","professional","taime",1884,"horfrstortt","f",NA,"horfrstortt, f",NA,NA,"pittsburgh pa",-79.995886,40.440625,"united states of america",NA,NA,"horfrstortt",NA,NA,78851,NA
"aime56726","professional","taime",1884,"horman","h",NA,"horman, h",NA,NA,"argentine kan.",-94.660535,39.05629,"united states of america",NA,NA,"horman",NA,NA,78851,NA
"aime56784","professional","taime",1884,"horrman","j",NA,"horrman, j",NA,NA,"philadelphia pa",-75.165222,39.952584,"united states of america",NA,NA,"horrman",NA,NA,78851,NA
"aime56832","professional","taime",1884,"hort","g",NA,"hort, g",NA,NA,"crested butte colorado",-106.987823,38.869715,"united states of america",NA,NA,"hort",NA,NA,78851,NA
"aime56860","professional","taime",1884,"horton","ralph","t","horton, r t","civil eng",NA,"new york city",-74.005973,40.712775,NA,NA,NA,"horton",NA,NA,78851,NA
"aime57046","professional","taime",1884,"houmman","f",NA,"houmman, f",NA,NA,"santa rosa cal",-122.714055,38.440429,"united states of america",NA,NA,"houmman",NA,NA,78851,NA
"aime57069","professional","taime",1884,"houston","c",NA,"houston, c",NA,NA,"thurlow pa",-80.251938,27.194243,"united states of america",NA,NA,"houston",NA,NA,78851,NA
"aime57083","professional","taime",1884,"houston","t",NA,"houston, t",NA,NA,"thurlow pa",-80.251938,27.194243,"united states of america",NA,NA,"houston",NA,NA,78851,NA
"aime57111","professional","taime",1884,"howald","f",NA,"howald, f",NA,NA,"fire creek w va",-81.026476,37.951319,"united states of america",NA,NA,"howald",NA,NA,78851,NA
"aime57321","professional","taime",1884,"howe","epenetus",NA,"howe, e","civil eng",NA,"tombstone arizona",-110.067576,31.712868,"united states of america",NA,"student","howe",NA,NA,214,"student"
"aime57350","professional","taime",1884,"howe","frank","irving","howe, f i","civil eng",NA,"danville pa",-76.612733,40.96342,"united states of america",NA,NA,"howe",NA,NA,78851,NA
"aime57439","professional","taime",1884,"howell","b",NA,"howell, b","mining eng","Cu","scottdale pa",-79.586983,40.100351,"united states of america",NA,"student","howell",NA,NA,4574,"student"
"aime57665","professional","taime",1884,"htnick","w",NA,"htnick, w",NA,NA,"easton pa",-75.220732,40.688432,"united states of america",NA,NA,"htnick",NA,NA,78851,NA
"aime57804","professional","taime",1884,"huber","h",NA,"huber, h",NA,NA,"socorro n m",-106.891416,34.0584,"united states of america",NA,NA,"huber",NA,NA,78851,NA
"aime58147","professional","taime",1884,"hulbert","e",NA,"hulbert, e",NA,NA,"middletown conn",-72.650649,41.562321,"united states of america",NA,NA,"hulbert",NA,NA,78851,NA
"aime58261","professional","taime",1884,"humbert","william",NA,"humbert, w","mining eng","Cu","new york city",-74.005973,40.712775,NA,NA,"student","humbert",NA,NA,4574,"student"
"aime58307","professional","taime",1884,"humphrey","gen",NA,"humphrey, g",NA,NA,"oxford n j",-74.999813,40.813257,"united states of america",NA,NA,"humphrey",NA,NA,78851,NA
"aime58333","professional","taime",1884,"humphreys","a",NA,"humphreys, a",NA,NA,"new york city",-74.005973,40.712775,NA,NA,NA,"humphreys",NA,NA,78851,NA
"aime58358","professional","taime",1884,"humpurey","d",NA,"humpurey, d",NA,NA,"scranton pa",-75.662412,41.408969,"united states of america",NA,NA,"humpurey",NA,NA,78851,NA
"aime58374","professional","taime",1884,"hungerford","w",NA,"hungerford, w",NA,NA,"low moor va",-79.883664,37.788738,"united states of america",NA,NA,"hungerford",NA,NA,78851,NA
