"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","srch","temp","geometry"
"9669","myb91063","myb",1889,"STANHOPE GOLD MINING COMPANY LIMITED",NA,"hoskeu","w",NA,"managing director","stanhope","Hugh Parker. | W. Hoskeu, Managing Director.","hoskeu, w",NA,"myb",c(-78.6766374, 35.7893925)
"9670","myb91063","myb",1889,"STANHOPE GOLD MINING COMPANY LIMITED",NA,"parker","hugh",NA,"board","stanhope","Hugh Parker. | W. Hoskeu, Managing Director.","parker, h",NA,"myb",c(-78.6766374, 35.7893925)
"10099","myb93019","myb",1889,"WOLHUTER GOLD MINING COMPANY LIMITED",NA,"bruch","ernest",NA,"board","london","H. J. King. | Ernest Bruch. | S. J. L nge. | W. H. Crmven.","bruch, e",NA,"myb",c(-0.1277583, 51.5073509)
"10100","myb93019","myb",1889,"WOLHUTER GOLD MINING COMPANY LIMITED",NA,"crmven","w","h","board","london","H. J. King. | Ernest Bruch. | S. J. L nge. | W. H. Crmven.","crmven, w h",NA,"myb",c(-0.1277583, 51.5073509)
"10101","myb93019","myb",1889,"WOLHUTER GOLD MINING COMPANY LIMITED",NA,"king","h","j","board","london","H. J. King. | Ernest Bruch. | S. J. L nge. | W. H. Crmven.","king, h j",NA,"myb",c(-0.1277583, 51.5073509)
"10103","myb93021","myb",1889,"WOLHUTER GOLD MINING COMPANY LIMITED",NA,"beit","alfred",NA,"board","london","Alfred Beit. | Sigmnnd Neumann. | Max Michaclis.","beit, a",NA,"myb",c(-0.1277583, 51.5073509)
"10104","myb93021","myb",1889,"WOLHUTER GOLD MINING COMPANY LIMITED",NA,"michaclis","max",NA,"board","london","Alfred Beit. | Sigmnnd Neumann. | Max Michaclis.","michaclis, m",NA,"myb",c(-0.1277583, 51.5073509)
"10105","myb93021","myb",1889,"WOLHUTER GOLD MINING COMPANY LIMITED",NA,"neumann","sigmnnd",NA,"board","london","Alfred Beit. | Sigmnnd Neumann. | Max Michaclis.","neumann, s",NA,"myb",c(-0.1277583, 51.5073509)
"11505","myb116936","myb",1891,"TION COMPANY LIMITED",NA,"francis","daniel",NA,"board","buxton","Alexander James Macdonald, Chairman. | Daniel Francis. | C. Shield. | Francis J. Set-","francis, d",NA,"myb",c(-97.307264, 32.823042)
"11506","myb116936","myb",1891,"TION COMPANY LIMITED",NA,"macdonald","alexander","james","chair","buxton","Alexander James Macdonald, Chairman. | Daniel Francis. | C. Shield. | Francis J. Set-","macdonald, a j",NA,"myb",c(-97.307264, 32.823042)
"11507","myb116936","myb",1891,"TION COMPANY LIMITED",NA,"shield","c",NA,"board","buxton","Alexander James Macdonald, Chairman. | Daniel Francis. | C. Shield. | Francis J. Set-","shield, c",NA,"myb",c(-97.307264, 32.823042)
"11508","myb116937","myb",1891,"TION COMPANY LIMITED",NA,"despard","fitzherbert","buxton","board","buxton","Fitzherbert Buxton Despard, Managing. | H. Eckstein. | Daniel Richard Hurley.","despard, f b","H. Eckstein","myb",c(-97.307264, 32.823042)
"11509","myb116937","myb",1891,"TION COMPANY LIMITED",NA,"eckstein","h",NA,"board","buxton","Fitzherbert Buxton Despard, Managing. | H. Eckstein. | Daniel Richard Hurley.","eckstein, h","H. Eckstein","myb",c(-97.307264, 32.823042)
"11510","myb116937","myb",1891,"TION COMPANY LIMITED",NA,"hurley","daniel","richard","board","buxton","Fitzherbert Buxton Despard, Managing. | H. Eckstein. | Daniel Richard Hurley.","hurley, d r","H. Eckstein","myb",c(-97.307264, 32.823042)
"11666","myb118222","myb",1891,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"bonrke","b","t","board","london","H. Griffin, Ckairmtan. | H. Bale. I 8. J. Mason. | B. T. Bonrke. | Hugh Parker.","bonrke, b t",NA,"myb",c(-0.1277583, 51.5073509)
