lon,lat,locn
-105.216019,39.749668,"Jefferson County, Colorado, United States"
-71.0917948,42.3663022,"Middlesex County, Massachusetts, United States"
-71.0838353,42.3258557,"Suffolk County, Massachusetts, United States"
-71.0942901,42.3590813,"Middlesex County, Massachusetts, United States"
-104.9858834,39.7608363,"Denver, Colorado, United States"
-94.856688,38.979416,"Johnson County, Kansas, United States"
-119.9741,38.02965,"Tuolumne County, California, United States"
-73.9821451,40.7605511,"New York County, City of New York, New York, United States"
-93.1095794,44.9741228,"Ramsey County, Minnesota, United States"
-92.9636542,44.9991878,"Washington County, Minnesota, United States"
-93.6580554,45.0077679,"Hennepin County, Minnesota, United States"
-82.907123,40.4172871,"Morrow County, Ohio, United States"
-94.1707881,30.1175939,"Jefferson County, Texas, United States"
-122.273042,37.8715226,"Alameda County, California, United States"
-122.3320708,47.6062095,"King County, Washington, United States"
-71.0583676,42.3078999,"Suffolk County, Massachusetts, United States"
-109.6875376,30.3753424,"Nacozari de García, Sonora, México"
-81.5190053,41.0814447,"Summit County, Ohio, United States"
-81.6892914,41.1352795,"Medina County, Ohio, United States"
-71.1654125,42.7062311,"Essex County, Massachusetts, United States"
-73.9441579,40.6781784,"Kings County, City of New York, New York, United States"
-82.4602379,27.948602,"Hillsborough County, Florida, United States"
-82.4551002,27.9478501,"Hillsborough County, Florida, United States"
-96.9021112,33.0536725,"Denton County, Texas, United States"
-66.222945,17.9535782,"Salinas, Puerto Rico, United States"
-85.2580971,43.9005752,"Osceola County, Michigan, United States"
-71.1631137,42.7070354,"Essex County, Massachusetts, United States"
-71.1656646,42.6980375,"Essex County, Massachusetts, United States"
-71.1491989,42.7062948,"Essex County, Massachusetts, United States"
-93.9214109,35.1409156,"Logan County, Arkansas, United States"
-96.7265889,17.0731842,"Oaxaca de Juárez, Oaxaca, México"
-81.1826527,42.7777214,"St. Thomas, Ontario, Canada"
-79.340874,40.99951,"Armstrong County, Pennsylvania, United States"
-83.0775771,42.3698975,"Wayne County, Michigan, United States"
-71.1196228,42.3857469,"Middlesex County, Massachusetts, United States"
-116.73318,43.016826,"Owyhee County, Idaho, United States"
-122.419416,37.77493,"San Francisco, California, United States"
-90.1999097,38.6241762,"Saint Louis, Missouri, United States"
-112.5347775,46.0038232,"Silver Bow County, Montana, United States"
-73.9983332,40.7320777,"New York County, City of New York, New York, United States"
-112.534778,46.003823,"Silver Bow County, Montana, United States"
-87.6930108,41.9555108,"Cook County, Illinois, United States"
-92.4801989,44.0121221,"Olmsted County, Minnesota, United States"
-71.1165403,42.3844899,"Middlesex County, Massachusetts, United States"
-71.8929107,45.4041718,"Estrie, Québec, Canada"
-71.1626756,42.2797554,"Suffolk County, Massachusetts, United States"
-88.073529,41.5322279,"Will County, Illinois, United States"
-90.478418,38.7856132,"Saint Charles County, Missouri, United States"
-111.7573455,33.38108,"Maricopa County, Arizona, United States"
-119.6943669,34.4293536,"Santa Barbara County, California, United States"
-121.8374777,39.7284944,"Butte County, California, United States"
-123.1011733,38.4242109,"Sonoma County, California, United States"
-99.561785,24.863949,"Linares, Nuevo León, México"
-110.974709,32.222607000000004,"Pima County, Arizona, United States"
-71.0695632,42.3495049,"Suffolk County, Massachusetts, United States"
-76.4059,37.00485,"Hampton, Virginia, United States"
-2.2173237,53.0311773,"Staffordshire, England, United Kingdom"
-77.6088465,43.1565779,"Monroe County, New York, United States"
-93.2623645,45.0812547,"Anoka County, Minnesota, United States"
-72.6569041,41.5566104,"Lower Connecticut River Valley Planning Region, Connecticut, United States"
-112.0391057,46.5891452,"Lewis and Clark County, Montana, United States"
-71.1620954,42.3336787,"Middlesex County, Massachusetts, United States"
