org,company,og_id
Moorina Tin Mine Limited,Moorina Tin Mine Limited,477
Torres Mines Limited,Torres Mines Limited,478
Ormerod Gold Mining Company,Ormerod Gold Mining Company,479
Ban Ock Coal Pan Ite,Ban Ock Coal Pan Ite,480
West Afric Oil Trust Limited,West Afric Oil Trust Limited,481
Banknock Coal Company,Banknock Coal Company,482
Bersha Collte Company,Bersha Collte Company,483
Teign Valley Granite Company,Teign Valley Granite Company,484
Holgatfontein Gold Farm Limited,Holgatfontein Gold Farm Limited,485
New Gopeng Limited,New Gopeng Limited,486
New Pen Limited,New Pen Limited,487
Randt Reefs Goljt Mining,Randt Reefs Goljt Mining,488
Elli Scales Mines And Quarries,Elli Scales Mines And Quarries,489
Chamberr Mlnes Western Australia Incorporated,Chamberr Mlnes Western Australia Incorporated,490
Chii Mary Street Cardiff Duncan,Chii Mary Street Cardiff Duncan,491
Kelly Queen Block Gold Mining,Kelly Queen Block Gold Mining,492
